P0,A0,B0,k_A,k_B,K,n,t_activation,t_cross,t50,t90,delta_t_50_90,t90_primary_limit,t90_excess_delay,max_secondary_fraction,secondary_fraction_at_t50,secondary_fraction_at_t90,secondary_reservoir_converted,integrated_secondary_fraction,B50_fraction_remaining,B90_fraction_remaining,final_P,final_A,final_B,max_conservation_error
0.01,0.39,0.6,0.15,0.3,0.2,2,2.3561780890445223,1.6058029014507254,4.817408704352176,12.321160580290146,7.5037518759379696,9.14017925992735,3.180981320362795,0.7390647780449872,0.7354612189448354,0.5374841832853078,0.9996146132706362,0.6086327373226927,0.5070784049127656,0.06242437477930813,0.9954362593124667,0.004332508649914648,0.00023123203761828826,6.661338147750939e-16
0.01,0.39,0.6,0.15,0.3,0.2,4,2.911455727863932,2.4012006003001503,5.102551275637819,12.261130565282642,7.158579289644822,9.14017925992735,3.120951305355291,0.784911925928833,0.7708029842538514,0.543415897782486,0.9996960428158627,0.608652140269119,0.5208115027555438,0.06163206114249295,0.995485117039603,0.004332508649914658,0.00018237431048243017,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.3,0.3,1,3.1065532766383193,1.3506753376688345,5.207603801900951,13.851925962981491,8.644322161080542,9.14017925992735,4.711746703054141,0.6917257451372076,0.689685950940186,0.6057812341029745,0.9979355282383799,0.6082322174025072,0.5271739915839155,0.08334670286970085,0.9944288082931126,0.004332508649914727,0.0012386830569720297,1.1102230246251565e-15
0.01,0.39,0.6,0.15,0.3,0.3,2,3.886943471735868,2.4762381190595297,5.822911455727864,13.44672336168084,7.6238119059529765,9.14017925992735,4.30654410175349,0.7519865565256093,0.7509377984404402,0.6194176726672098,0.9991590303105508,0.6085241459896542,0.5534413889683156,0.07817795702326412,0.9951629095364148,0.004332508649914637,0.0005045818136694915,1.2212453270876722e-15
0.01,0.39,0.6,0.15,0.3,0.3,4,4.937468734367184,3.856928464232116,6.663331665832916,13.52176088044022,6.8584292146073045,9.14017925992735,4.38158162051287,0.8129711571053683,0.8128209443015791,0.647264500169895,0.9994077260030064,0.608583431787076,0.583434106450798,0.07942488480289975,0.99531212695189,0.0043325086499145975,0.00035536439819613654,1.1102230246251565e-15
0.01,0.39,0.6,0.15,0.3,0.5,1,6.093046523261631,2.191095547773887,6.153076538269135,15.682841420710355,9.52976488244122,9.14017925992735,6.542662160783005,0.7100613593127103,0.6879823241855941,0.6818635019036768,0.9939057942782592,0.6072676335090933,0.5666185630791097,0.10304405397643705,0.9920109679170411,0.004332508649914777,0.0036565234330445005,6.661338147750939e-16
0.01,0.39,0.6,0.15,0.3,0.5,2,7.788894447223612,4.1870935467733865,7.848924462231116,16.388194097048526,8.53926963481741,9.14017925992735,7.2480148371211754,0.7918027411394215,0.7590008244112222,0.7500171328738329,0.9956380113223361,0.6076828499229111,0.6238278798880277,0.10914712948021786,0.9930502981434862,0.004332508649914671,0.002617193206598359,1.2212453270876722e-15
0.01,0.39,0.6,0.15,0.3,0.5,4,10.670335167583792,7.158579289644822,10.730365182591296,17.99399699849925,7.263631815907953,9.14017925992735,8.853817738571898,0.8812927598379813,0.8450639805511062,0.8351490713150763,0.9957879761287025,0.6077187555409517,0.6948112564670583,0.12125493904357704,0.9931402770273067,0.004332508649914587,0.0025272143227785143,9.992007221626409e-16
0.01,0.39,0.6,0.15,0.6,0.05,1,0.2251125562781391,0.0,2.221110555277639,9.409704852426213,7.188594297148574,9.14017925992735,0.2695255924988622,0.8075430297730373,0.7358678616260026,0.12963051477314053,0.999999950788979,0.6087245381554901,0.3564637831436656,0.006227597446902825,0.9956674618234717,0.004332508649914892,2.9526612562693515e-08,9.992007221626409e-16
0.01,0.39,0.6,0.15,0.6,0.05,2,0.3001500750375188,0.13506753376688344,2.1160580290145075,9.334667333666834,7.218609304652327,9.14017925992735,0.19448807373948362,0.8341883806470288,0.7444081429555917,0.10397843788545279,0.9999999801342268,0.6087245451449113,0.3479098824272505,0.0046635244633144715,0.9956674794306205,0.00433250864991494,1.1919463916022113e-08,6.661338147750939e-16
